departamento;provincia;distrito;ubigeo;tmean;tmax;tmin;humr;ptot;ano;semana
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.6;14.2;8.2;84.4;21.9;2024;1
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;11.4;16;7.8;79.3;3.7;2024;2
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.9;14.5;8.4;84.3;5;2024;3
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;11.3;15.3;8.7;85.8;0.9;2024;4
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;11;14.6;8.4;86.3;24.9;2024;5
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.5;14.7;7.3;83.9;4.4;2024;6
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;11;15.3;8.4;86.4;3.3;2024;7
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;11.6;16.2;7.7;73;6.3;2024;8
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.8;13.1;7.8;87.7;26.1;2024;9
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.6;14.8;7.8;85.4;10.9;2024;10
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;11.6;15.9;8.1;81.1;0.8;2024;11
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.8;14.9;8;87.5;11.2;2024;12
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.4;14.5;8;88.2;14.9;2024;13
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.6;14.7;7.6;82.8;2.1;2024;14
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;11;15.1;8.2;85.1;9.4;2024;15
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.6;15.2;6.9;79;0;2024;16
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.6;15.4;6.2;76.6;4;2024;17
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.3;14.8;6.6;79.5;0;2024;18
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;11.1;15.6;7.5;78.6;0.5;2024;19
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.6;14.9;7.7;81.6;6.9;2024;20
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.2;15;5.9;79.5;4.7;2024;21
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10;15.4;4.7;73;0;2024;22
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.1;15;3.1;69.5;0.4;2024;23
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.9;15.2;5.2;69.3;0.6;2024;24
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.5;12.4;5.5;81.2;4.3;2024;25
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.1;14.4;3.3;73.7;0.5;2024;26
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.1;14.2;4.8;75.2;0.7;2024;27
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.9;14.6;4.4;68.1;0.3;2024;28
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.5;14.2;3.6;67.8;0;2024;29
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.6;14.2;4.3;70.6;0.7;2024;30
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.7;14.8;5.9;72.7;0.6;2024;31
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.4;13.9;4.3;76.4;15.6;2024;32
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.7;14.6;3.6;70.2;0.3;2024;33
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.1;16.3;5.1;66.7;0.7;2024;34
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.7;14.8;6.2;74.6;10.2;2024;35
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.4;14.8;5.1;74.3;1;2024;36
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10;16;4.7;67.6;0.4;2024;37
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.1;14.8;6.8;78.9;1;2024;38
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.2;15.3;5.7;71.6;15.1;2024;39
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.2;15.2;6;76.7;10.9;2024;40
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.3;15.9;6.1;75.5;1.4;2024;41
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.1;15.2;6;80;5.9;2024;42
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.9;16.2;6.7;78;33.4;2024;43
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.9;15.9;7.1;77.1;1.3;2024;44
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;11;15.9;7.2;77.3;5.8;2024;45
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.3;14.5;7.2;83.8;9.5;2024;46
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.4;14.3;7.4;79.7;11;2024;47
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.7;14.6;8.3;84.1;13.5;2024;48
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.9;15.1;7.7;81.3;20.9;2024;49
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.3;14.5;7.3;86.3;22.2;2024;50
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.9;14;7.3;83.8;9.4;2024;51
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.7;14.8;7.4;82.2;6.9;2024;52
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.5;13.5;6.7;84.4;12.4;2023;1
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.1;14.8;6.3;78.2;0.2;2023;2
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.3;13.5;6.5;82.8;14.4;2023;3
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.6;13.5;6.8;84.6;2.6;2023;4
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.3;12.8;7.3;87.2;33.3;2023;5
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.4;13.4;7;88.2;12;2023;6
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10;13.9;7.4;84.7;16;2023;7
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.9;14.2;7.2;84.9;12.2;2023;8
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.3;14.7;6.8;79.5;7.1;2023;9
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10;13.6;7.2;84.7;2.1;2023;10
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.4;13.7;7.1;86.5;0.9;2023;11
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.1;13.3;6.2;84.3;3.3;2023;12
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.9;12.3;6.4;86.1;2.7;2023;13
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.4;13.7;6.3;82.4;5.2;2023;14
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.3;13.7;6.2;86;4.6;2023;15
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10;15;5.5;78.9;2.8;2023;16
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.4;13.6;5.7;78.9;0;2023;17
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.4;13.7;5.8;79.9;14.6;2023;18
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;7.6;11.5;4.7;86.1;10.5;2023;19
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.5;14.6;5;75.9;0;2023;20
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9;14;3.9;76.7;0;2023;21
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.4;13.8;3.1;71.4;0.3;2023;22
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.3;13.3;4;70.7;0;2023;23
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.5;12.7;5;76.7;1.3;2023;24
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.1;13.9;2.9;70.3;0;2023;25
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.3;13.8;3.5;69.1;0;2023;26
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.6;16.3;2.8;62.3;0;2023;27
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.8;15.5;4.9;67.1;0;2023;28
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.2;14.5;4.8;70.2;0;2023;29
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.4;15.7;3.8;63.4;0;2023;30
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.2;13.6;3.5;69.5;0.5;2023;31
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.3;14.8;5.3;72.1;8.7;2023;32
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.3;15.4;3.7;70.8;19;2023;33
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.6;16.7;4.9;64.6;0;2023;34
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.3;15.7;6.5;74.8;14.3;2023;35
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.4;14.9;5.2;77.1;3;2023;36
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.7;14.5;5.5;73.8;0.8;2023;37
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.5;14.2;6.4;81.3;0.1;2023;38
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.6;15.6;6.3;77.8;0.7;2023;39
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;11.4;16.2;7.6;79.8;22.9;2023;40
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.8;15.3;7.1;79.8;1.4;2023;41
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.6;14;6.1;80.7;0.1;2023;42
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.7;15.5;6.6;79.3;0;2023;43
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;11.4;16.6;7.1;74;2.8;2023;44
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.4;14.8;7.4;83.3;4.3;2023;45
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;11.5;16.7;8.4;81.7;4.1;2023;46
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;11.1;15.6;7.6;77.9;7.8;2023;47
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.3;14.6;7.7;86.9;4.9;2023;48
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.8;14.7;8.1;85.1;5.9;2023;49
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;11.1;15.4;8.5;84.9;10.5;2023;50
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;11.3;15.4;8;81.1;3.8;2023;51
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.8;14.5;7.5;82.2;16.7;2023;52
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.3;15.3;6.5;80.5;2.4;2022;1
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.1;13.2;6.2;84.1;10.7;2022;2
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.6;13.9;6.8;84.4;26.4;2022;3
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.7;13.7;7;84.7;14;2022;4
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.2;12.9;6.7;86.7;9.3;2022;5
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.4;13.5;6.9;87.4;17;2022;6
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.6;13.6;7.2;85.5;0.5;2022;7
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.6;13.4;7.2;85.5;5.7;2022;8
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.5;13.9;6.8;86.2;11.6;2022;9
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.8;13.6;7.2;86;27.8;2022;10
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.2;12.9;6.8;85.7;22.9;2022;11
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.7;13.4;7.5;86.9;4.6;2022;12
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.4;12.9;7.2;88.7;12.7;2022;13
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.2;13.3;6.5;85;12.2;2022;14
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.2;14.8;6.2;76.6;5.9;2022;15
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10;14.6;5.3;74.3;0;2022;16
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.4;13.6;5.9;80;2.7;2022;17
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.4;13.7;5.8;80.2;0.8;2022;18
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.9;12.8;6.2;80.8;15.4;2022;19
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.2;13.7;5.4;79.3;0.6;2022;20
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.4;12.8;5;78.4;3.6;2022;21
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.2;12.5;4.8;82.2;0.3;2022;22
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.2;12.9;3.7;76.5;0.5;2022;23
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;7.3;13;2.1;73;0.7;2022;24
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;7.4;11.6;3.7;77.7;0;2022;25
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.2;14.2;2.3;66.9;0;2022;26
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8;13.1;3.8;68.2;0;2022;27
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9;14.8;4;71.6;0;2022;28
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.4;13.7;3.8;72;0;2022;29
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.8;14.5;3.6;69.8;0;2022;30
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.8;13.6;5.1;76;6.3;2022;31
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.3;12.8;4.6;80.7;0.3;2022;32
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.4;14.8;4.5;70.8;0.9;2022;33
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.3;14.1;2.6;70.4;0;2022;34
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.4;13.4;4.4;73.2;0;2022;35
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.3;14.4;5.4;72.7;0.2;2022;36
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.5;14.5;6.3;77.9;6.5;2022;37
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.8;15.5;4.2;74.6;7.4;2022;38
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.9;14.3;4.6;77.7;1.1;2022;39
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.3;14.5;4.8;76.1;3.3;2022;40
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.8;15.5;4.5;71.8;0.6;2022;41
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10;15;5.9;77.1;0;2022;42
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;11.1;16.7;5.5;69;0.5;2022;43
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.6;15.9;6.1;73.6;5.9;2022;44
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.1;15.4;5.3;74.9;1.2;2022;45
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.5;15.2;5.7;69.8;0;2022;46
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.2;15.2;6.5;76.9;1.5;2022;47
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.5;16.4;4.2;65.7;0.1;2022;48
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.3;14.3;5.5;77.5;1;2022;49
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.2;13.4;6.5;84.8;7.8;2022;50
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.1;14.5;6.8;84.5;9.5;2022;51
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.7;13.9;6.2;83.8;19;2022;52
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.3;13.3;7;86.9;19;2021;1
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.9;13.9;7.2;86.1;5.9;2021;2
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.5;13.5;6.8;86.2;3.1;2021;3
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.7;13.4;7.1;84.9;2.2;2021;4
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.8;14.1;7;86.2;0.9;2021;5
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.1;14.1;7.1;85.4;18.3;2021;6
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.4;15.8;4.7;66.3;0;2021;7
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.6;13.8;6.9;85.5;1.7;2021;8
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.5;13.6;7;87.6;9.6;2021;9
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.1;13.6;6.5;88.7;21.1;2021;10
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.4;13.7;6.1;81.9;8.5;2021;11
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9;12.9;6.6;88.2;5.4;2021;12
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.1;12.9;6.8;88;5.2;2021;13
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.3;12.9;7;89.3;5.7;2021;14
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.3;13.4;6.4;83.7;0.9;2021;15
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.2;14;5.4;81.1;4;2021;16
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.8;13.2;5.6;79.6;4.6;2021;17
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9;13.3;5.8;79.3;1.6;2021;18
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.4;12.7;5.3;79.6;14.8;2021;19
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.5;13.7;3.8;77.2;3.1;2021;20
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8;12.6;3.9;80.6;8.9;2021;21
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.1;13.4;5.8;80;12.4;2021;22
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.4;12.9;4.2;77.8;0;2021;23
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.1;12.3;4.9;78.4;0;2021;24
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.4;12.9;4.4;77;0.6;2021;25
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;7.3;12;3.2;74.2;1.7;2021;26
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;7.7;13.5;2.3;66.6;0;2021;27
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.7;13.7;5;75.3;1.1;2021;28
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;7.8;12.6;3.6;75.2;8.2;2021;29
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.1;12.8;4.4;75.9;0;2021;30
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;7.1;12.2;2.8;73.9;0;2021;31
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.8;14;4.9;72;0;2021;32
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.8;14;4.7;73.6;3.2;2021;33
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.8;14.1;4.6;77.8;0.2;2021;34
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.7;14;4.5;77.3;0;2021;35
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.8;13.3;5.4;83.2;2.9;2021;36
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.2;13.5;6;78.5;0;2021;37
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.2;13.2;4.6;83.6;5.6;2021;38
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.3;14.3;4.8;77.1;0.3;2021;39
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.5;13.8;6.5;84.5;10.2;2021;40
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.7;16.1;6.1;76.4;11.7;2021;41
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.2;15.4;6.1;80.2;10.2;2021;42
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.9;14.9;6;77;0;2021;43
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.8;14.9;6.1;81;32.6;2021;44
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.5;15.3;6.5;76.8;0;2021;45
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.4;14.6;6.3;75.9;14.3;2021;46
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.4;13.5;7.1;87;25;2021;47
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.9;13.6;7.1;84.8;10.4;2021;48
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.1;13.9;7.3;83.8;4;2021;49
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.3;15.1;5.9;78;68.5;2021;50
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.7;15.4;6.8;75.1;1.7;2021;51
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.8;15.6;6.6;74.5;6.2;2021;52
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.6;15.4;7;83.6;7.3;2020;1
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.4;15.6;6;79.9;6.2;2020;2
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.7;14.2;6.1;84.7;10.4;2020;3
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.6;14.9;7.6;83.3;7;2020;4
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.6;14.8;7;82.9;1.1;2020;5
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.9;14.4;8.4;84.4;10.8;2020;6
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.3;14.5;8;87.6;3.9;2020;7
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.9;15.2;8.1;84.1;8.6;2020;8
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.6;14.8;7.9;83.9;4.6;2020;9
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.3;14.3;7.7;85.2;4.6;2020;10
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.9;14.3;6.5;84.2;5.7;2020;11
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10;13.6;7.5;85.8;16.5;2020;12
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10;14;7.1;85.3;5.3;2020;13
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.4;13.1;6.8;83.3;33.6;2020;14
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.2;14.7;6.7;83;8.3;2020;15
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.6;14.2;5.4;74.3;0;2020;16
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.2;13.7;4.8;76.3;0;2020;17
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.5;12.8;7.1;85.1;3.3;2020;18
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.3;13.7;6.1;86.9;24.2;2020;19
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.5;14.3;4.7;76.1;1;2020;20
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9;13.3;6;83.2;6.6;2020;21
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.6;13.5;4.3;73.5;0.6;2020;22
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.2;12.1;5.1;80.5;0;2020;23
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.9;14.2;3.7;74.4;0;2020;24
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.7;13.2;4.7;77.1;0;2020;25
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.7;14.3;3.4;72.3;0;2020;26
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.1;15;3.7;64;0;2020;27
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.8;14;4.3;71.9;3.7;2020;28
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.8;13.8;4.3;72.9;0;2020;29
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.1;15.1;4.1;63.6;0.4;2020;30
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9;14.9;4.2;69.1;0;2020;31
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9;15.5;3.3;61.2;0;2020;32
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.8;14.4;4.4;69.4;0;2020;33
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.8;15.2;6.5;74.1;0;2020;34
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.9;16;5.5;70;0;2020;35
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.4;14.8;5.3;71.7;0;2020;36
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.5;15;4.8;71.6;3.3;2020;37
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.1;13.9;5.6;76.7;13;2020;38
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.3;14.1;5.9;79.1;3.4;2020;39
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.4;12.9;5.1;86;6.4;2020;40
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.3;13.3;4;79.1;0;2020;41
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;8.6;13.7;4.3;79.6;2.5;2020;42
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.3;14.7;5.2;80.5;8.1;2020;43
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.3;15.8;4.7;73.2;1.6;2020;44
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;9.8;14.4;6.1;80;0;2020;45
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;10.3;15.5;6;74.7;0.5;2020;46
HUANCAVELICA;ACOBAMBA;ACOBAMBA;90201;11.4;16.7;7.1;71.6;0.2;2020;47
